AssignmentGuid,UserName,UserGuid,ProductName,ProductGuid,ProductSku,RequestedAt,ApprovedAt,ReturnDate,Source,ApprovedBy,ApprovalComment,Approved
a00122-demo,emma.bos@avondrood.local,u00122,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-07-06T11:00:00.000,2026-07-07T00:00:00.000,,Request,Guusje Smits,Conform aanvraag,True
a00123-demo,gerben.coenen@avondrood.local,u00123,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-12-05T10:00:00.000,2025-12-07T05:00:00.000,,Request,Bram Elzinga,Nodig voor de functie,True
a00124-demo,ursula.nagtegaal@avondrood.local,u00124,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-10-22T01:00:00.000,2023-10-24T20:00:00.000,,Import,Ursula Nagtegaal,Conform aanvraag,True
a00125-demo,gerben.kuipers@avondrood.local,u00125,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-04-13T23:00:00.000,2025-04-16T07:00:00.000,,Request,Roos Quaedvlieg,Conform aanvraag,True
a00126-demo,floris.verhoeven@avondrood.local,u00126,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-09-19T13:00:00.000,2025-09-22T07:00:00.000,,Request,Roos Quaedvlieg,Goedgekeurd na overleg,True
a00127-demo,dirk.willems@avondrood.local,u00127,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-04-15T01:00:00.000,2023-04-17T11:00:00.000,,Request,Roos Quaedvlieg,Nodig voor de functie,True
a00128-demo,maarten.lindeboom@avondrood.local,u00128,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-10-28T11:00:00.000,2024-10-29T18:00:00.000,,Request,Bram Elzinga,Ok,True
a00129-demo,rens.muijs2@avondrood.local,u00129,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-01-13T01:00:00.000,2024-01-13T12:00:00.000,,Request,Ursula Nagtegaal,Conform aanvraag,True
a00130-demo,elise.maas@avondrood.local,u00130,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-06-21T07:00:00.000,2024-06-22T09:00:00.000,,Request,Ursula Nagtegaal,Goedgekeurd na overleg,True
a00131-demo,hanna.smits@avondrood.local,u00131,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-04-24T21:00:00.000,2026-04-27T16:00:00.000,,Request,Fenna de Boer,Ok,True
a00132-demo,mees.brouwer@avondrood.local,u00132,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-10-11T04:00:00.000,2025-10-11T17:00:00.000,,Request,Zoë Willems,"Akkoord, tijdelijk",True
a00133-demo,cato.nagtegaal@avondrood.local,u00133,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-11-22T05:00:00.000,2023-11-24T23:00:00.000,,Request,Floris Willems,Nodig voor de functie,True
a00134-demo,gerben.bakker@avondrood.local,u00134,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-12-06T14:00:00.000,2023-12-09T08:00:00.000,,Request,Ursula Nagtegaal,Akkoord – zie ticket,True
a00135-demo,stijn.quaedvlieg@avondrood.local,u00135,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-05-11T15:00:00.000,2023-05-13T18:00:00.000,,Request,Elise Berkhout,Conform aanvraag,True
a00136-demo,jasper.terlouw@avondrood.local,u00136,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-01-01T20:00:00.000,2025-01-04T18:00:00.000,,Request,Rens de Graaf,Nodig voor de functie,True
a00137-demo,guusje.terlouw@avondrood.local,u00137,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-03-04T03:00:00.000,2025-03-05T15:00:00.000,,Request,Tijn Vroegindeweij,Nodig voor de functie,True
a00138-demo,bas.maas@avondrood.local,u00138,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-08-11T03:00:00.000,2024-08-14T02:00:00.000,,Request,Roos Quaedvlieg,Nodig voor de functie,True
a00139-demo,anne.devries2@avondrood.local,u00139,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-04-25T01:00:00.000,2024-04-25T06:00:00.000,,Import,Sem Slootweg,Ok,True
a00140-demo,dirk.vandijk@avondrood.local,u00140,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-08-31T05:00:00.000,2023-09-01T04:00:00.000,,Request,Bram Elzinga,Conform aanvraag,True
a00141-demo,mila.coenen@avondrood.local,u00141,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-05-04T04:00:00.000,2025-05-05T18:00:00.000,,Request,Bram Elzinga,Conform aanvraag,True
a00142-demo,rens.elzinga@avondrood.local,u00142,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-01-16T14:00:00.000,2023-01-17T23:00:00.000,2023-05-06T23:00:00,Request,Bram Elzinga,Conform aanvraag,True
a00143-demo,vera.vandam@avondrood.local,u00143,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-11-25T11:00:00.000,2022-11-26T02:00:00.000,,Request,Tijn Vroegindeweij,Nodig voor de functie,True
a00144-demo,finn.vermeulen@avondrood.local,u00144,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-09-17T04:00:00.000,2024-09-17T06:00:00.000,,Request,Sem Slootweg,"Akkoord, tijdelijk",True
a00145-demo,jelle.hendriks@avondrood.local,u00145,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-07-01T11:00:00.000,2024-07-02T23:00:00.000,,Request,Tijn Vroegindeweij,Ok,True
a00146-demo,lieke.vandam@avondrood.local,u00146,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-08-19T07:00:00.000,2024-08-20T22:00:00.000,,Request,Ursula Nagtegaal,Akkoord – zie ticket,True
a00147-demo,maarten.blom@avondrood.local,u00147,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-04-28T12:00:00.000,2024-04-30T04:00:00.000,,Request,Guusje Smits,Nodig voor de functie,True
a00148-demo,anne.hoekstra@avondrood.local,u00148,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-06-11T15:00:00.000,2026-06-13T08:00:00.000,2027-05-12T08:00:00,Request,Ursula Nagtegaal,Goedgekeurd na overleg,True
a00149-demo,maarten.muijs@avondrood.local,u00149,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-03-25T15:00:00.000,2026-03-25T17:00:00.000,,Request,Elise Berkhout,Akkoord – zie ticket,True
a00150-demo,jasper.kalisvaart@avondrood.local,u00150,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-09-29T16:00:00.000,2025-09-30T03:00:00.000,,Request,Roos Quaedvlieg,Goedgekeurd na overleg,True
a00151-demo,amber.slootweg2@avondrood.local,u00151,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-05-09T05:00:00.000,2025-05-09T19:00:00.000,,Request,Rens de Graaf,Nodig voor de functie,True
a00152-demo,hugo.maas@avondrood.local,u00152,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-09-09T03:00:00.000,2023-09-11T03:00:00.000,2024-09-09T03:00:00,Request,Elise Berkhout,Akkoord,True
a00153-demo,anne.jacobs@avondrood.local,u00153,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-01-23T02:00:00.000,2025-01-25T19:00:00.000,,Import,Tijn Vroegindeweij,Akkoord,True
a00154-demo,sanne.vandermeer@avondrood.local,u00154,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-08-28T05:00:00.000,2025-08-29T06:00:00.000,,Request,Puck Kalisvaart,Nodig voor de functie,True
a00155-demo,tijn.dejong@avondrood.local,u00155,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-11-18T20:00:00.000,2022-11-21T05:00:00.000,,Request,Zoë Willems,Conform aanvraag,True
a00156-demo,zoe.blom@avondrood.local,u00156,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-09-16T06:00:00.000,2022-09-17T07:00:00.000,,Request,Tijn Vroegindeweij,Nodig voor de functie,True
a00157-demo,nora.dewit@avondrood.local,u00157,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-08-02T02:00:00.000,2023-08-04T16:00:00.000,,Request,,,
a00158-demo,pien.hendriks@avondrood.local,u00158,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-04-27T05:00:00.000,2023-04-28T18:00:00.000,2024-02-29T18:00:00,Request,Floris Willems,Conform aanvraag,True
a00159-demo,emma.elzinga@avondrood.local,u00159,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-09-25T11:00:00.000,2024-09-25T16:00:00.000,,Request,Sem Slootweg,"Akkoord, tijdelijk",True
a00160-demo,veerle.blom@avondrood.local,u00160,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-02-13T20:00:00.000,2024-02-15T22:00:00.000,,Request,Ursula Nagtegaal,"Akkoord, tijdelijk",True
a00161-demo,anne.aalbers@avondrood.local,u00161,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-08-12T00:00:00.000,2026-08-13T18:00:00.000,,Request,Bram Elzinga,Goedgekeurd na overleg,True
a00162-demo,zef.janssen@avondrood.local,u00162,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-11-04T14:00:00.000,2022-11-05T00:00:00.000,,Request,Bram Elzinga,Akkoord – zie ticket,True
a00163-demo,amber.slootweg@avondrood.local,u00163,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-06-18T22:00:00.000,2024-06-20T20:00:00.000,,Request,Floris Willems,Ok,True
a00164-demo,rosa.kuiper@avondrood.local,u00164,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-05-11T23:00:00.000,2024-05-12T10:00:00.000,,Request,Puck Kalisvaart,Akkoord – zie ticket,True
a00165-demo,jelle.muijs@avondrood.local,u00165,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-11-29T15:00:00.000,2023-11-29T22:00:00.000,,Request,Guusje Smits,Conform aanvraag,True
a00166-demo,gerben.oosterhuis@avondrood.local,u00166,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-02-02T09:00:00.000,2024-02-03T19:00:00.000,2024-09-14T19:00:00,Request,Elise Berkhout,Conform aanvraag,True
a00167-demo,bas.dehaan@avondrood.local,u00167,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-12-03T04:00:00.000,2023-12-05T05:00:00.000,,Request,Elise Berkhout,Akkoord,True
a00168-demo,daan.prins@avondrood.local,u00168,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-05-23T03:00:00.000,2026-05-24T10:00:00.000,,Request,Guusje Smits,Ok,True
a00169-demo,jelle.janssen@avondrood.local,u00169,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-09-08T20:00:00.000,2024-09-10T17:00:00.000,,Request,Bram Elzinga,Akkoord,True
a00170-demo,sofie.quaedvlieg@avondrood.local,u00170,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-11-22T21:00:00.000,2023-11-24T14:00:00.000,,Request,Guusje Smits,Nodig voor de functie,True
a00171-demo,olivier.quaedvlieg@avondrood.local,u00171,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-01-22T15:00:00.000,2026-01-24T01:00:00.000,,Request,Tijn Vroegindeweij,Akkoord,True
a00172-demo,nora.vanderveen@avondrood.local,u00172,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-10-09T11:00:00.000,2025-10-10T11:00:00.000,,Request,Floris Willems,"Akkoord, tijdelijk",True
a00173-demo,wout.post@avondrood.local,u00173,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-02-02T15:00:00.000,2026-02-03T18:00:00.000,,Request,,,
a00174-demo,gerben.vandenbroek@avondrood.local,u00174,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2026-04-06T16:00:00.000,2026-04-08T13:00:00.000,,Request,Floris Willems,Akkoord,True
a00175-demo,dirk.prins@avondrood.local,u00175,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2025-10-07T16:00:00.000,2025-10-08T02:00:00.000,,Request,Roos Quaedvlieg,Akkoord – zie ticket,True
a00176-demo,bram.elzinga@avondrood.local,u00176,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2022-09-12T06:00:00.000,2022-09-14T09:00:00.000,,Request,Bram Elzinga,Akkoord – zie ticket,True
a00177-demo,guusje.vandijk@avondrood.local,u00177,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-08-30T09:00:00.000,2024-08-30T18:00:00.000,,Request,Rens de Graaf,Akkoord – zie ticket,True
a00178-demo,floris.dijkgraaf@avondrood.local,u00178,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2023-05-09T17:00:00.000,2023-05-12T09:00:00.000,,Import,Bram Elzinga,Nodig voor de functie,True
a00179-demo,bas.dijkstra@avondrood.local,u00179,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-01-10T15:00:00.000,2024-01-11T23:00:00.000,,Request,Fenna de Boer,Ok,True
a00180-demo,wessel.dijkstra@avondrood.local,u00180,Adobe Acrobat Pro,p0002-demo-0000-0000-000000000000,20240002DEMO,2024-01-19T17:00:00.000,2024-01-22T09:00:00.000,,Request,,,
a00181-demo,teun.gerritsen@avondrood.local,u00181,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-11-04T08:00:00.000,2024-11-07T06:00:00.000,,Request,Roos Quaedvlieg,Akkoord – zie ticket,True
a00182-demo,finn.peters@avondrood.local,u00182,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2026-05-26T20:00:00.000,2026-05-28T04:00:00.000,,Request,,,
a00183-demo,hugo.vanderberg@avondrood.local,u00183,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-03-27T12:00:00.000,2024-03-29T10:00:00.000,,Request,Zoë Willems,Akkoord – zie ticket,True
a00184-demo,karlijn.koster@avondrood.local,u00184,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-07-20T15:00:00.000,2025-07-22T17:00:00.000,,Request,Elise Berkhout,"Akkoord, tijdelijk",True
a00185-demo,yfke.blom@avondrood.local,u00185,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-06-29T15:00:00.000,2025-07-01T17:00:00.000,,Import,Puck Kalisvaart,Akkoord,True
a00186-demo,dirk.prins@avondrood.local,u00186,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-12-18T06:00:00.000,2025-12-20T18:00:00.000,,Request,Roos Quaedvlieg,Goedgekeurd na overleg,True
a00187-demo,pepijn.oosterhuis@avondrood.local,u00187,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-09-16T13:00:00.000,2024-09-17T09:00:00.000,,Request,Rens de Graaf,Goedgekeurd na overleg,True
a00188-demo,lotte.elzinga@avondrood.local,u00188,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-01-18T21:00:00.000,2025-01-20T18:00:00.000,,Request,Sem Slootweg,Nodig voor de functie,True
a00189-demo,zoe.willems@avondrood.local,u00189,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-05-04T04:00:00.000,2024-05-05T10:00:00.000,,Import,Zoë Willems,Akkoord,True
a00190-demo,rens.deboer@avondrood.local,u00190,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-03-10T10:00:00.000,2025-03-10T16:00:00.000,,Request,Fenna de Boer,Conform aanvraag,True
a00191-demo,hanna.smits@avondrood.local,u00191,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-03-01T22:00:00.000,2025-03-04T05:00:00.000,,Request,Fenna de Boer,"Akkoord, tijdelijk",True
a00192-demo,fenna.dejong@avondrood.local,u00192,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-09-04T20:00:00.000,2023-09-06T13:00:00.000,,Import,Guusje Smits,Goedgekeurd na overleg,True
a00193-demo,fenna.slootweg@avondrood.local,u00193,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-09-29T02:00:00.000,2023-10-01T23:00:00.000,,Request,Roos Quaedvlieg,Nodig voor de functie,True
a00194-demo,lieke.vandam@avondrood.local,u00194,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-06-27T17:00:00.000,2024-06-30T00:00:00.000,,Request,Ursula Nagtegaal,Goedgekeurd na overleg,True
a00195-demo,daphne.bakker@avondrood.local,u00195,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2026-01-24T19:00:00.000,2026-01-26T00:00:00.000,,Request,Rens de Graaf,Ok,True
a00196-demo,guusje.blom@avondrood.local,u00196,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-04-28T22:00:00.000,2025-05-01T09:00:00.000,,Request,Fenna de Boer,Goedgekeurd na overleg,True
a00197-demo,sanne.vandermeer@avondrood.local,u00197,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-07-27T00:00:00.000,2023-07-27T02:00:00.000,,Request,Puck Kalisvaart,Akkoord,True
a00198-demo,joris.pronk@avondrood.local,u00198,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-03-17T14:00:00.000,2023-03-19T16:00:00.000,,Request,Guusje Smits,Conform aanvraag,True
a00199-demo,xander.dehaan@avondrood.local,u00199,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-11-29T05:00:00.000,2025-11-29T17:00:00.000,,Import,Guusje Smits,Ok,True
a00200-demo,cato.nagtegaal@avondrood.local,u00200,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-06-08T19:00:00.000,2025-06-10T15:00:00.000,,Request,Floris Willems,"Akkoord, tijdelijk",True
a00201-demo,daan.prins@avondrood.local,u00201,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-12-10T22:00:00.000,2023-12-12T03:00:00.000,,Request,daan.prins@avondrood.local,Ok,True
a00202-demo,bas.dehaan@avondrood.local,u00202,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2026-05-27T05:00:00.000,2026-05-27T20:00:00.000,,Request,Elise Berkhout,Ok,True
a00203-demo,tijn.elzinga@avondrood.local,u00203,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-08-09T15:00:00.000,2025-08-09T23:00:00.000,,Request,Elise Berkhout,"Akkoord, tijdelijk",True
a00204-demo,rosa.vandam@avondrood.local,u00204,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-10-01T11:00:00.000,2025-10-03T04:00:00.000,,Import,Bram Elzinga,Nodig voor de functie,True
a00205-demo,daan.huisman@avondrood.local,u00205,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2026-04-11T10:00:00.000,2026-04-13T18:00:00.000,,Request,Roos Quaedvlieg,Akkoord – zie ticket,True
a00206-demo,hanna.debruijn@avondrood.local,u00206,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-11-14T14:00:00.000,2025-11-16T20:00:00.000,,Request,Guusje Smits,Akkoord – zie ticket,True
a00207-demo,floris.dijkgraaf@avondrood.local,u00207,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-04-12T18:00:00.000,2023-04-15T11:00:00.000,,Request,Bram Elzinga,Conform aanvraag,True
a00208-demo,gerben.dijkstra@avondrood.local,u00208,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-03-01T00:00:00.000,2025-03-02T04:00:00.000,,Request,Roos Quaedvlieg,Ok,True
a00209-demo,yfke.vandijk@avondrood.local,u00209,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-11-01T03:00:00.000,2023-11-03T23:00:00.000,,Import,Sem Slootweg,Goedgekeurd na overleg,True
a00210-demo,puck.quaedvlieg@avondrood.local,u00210,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-01-19T13:00:00.000,2025-01-22T10:00:00.000,,Request,Elise Berkhout,Goedgekeurd na overleg,True
a00211-demo,jet.brouwer@avondrood.local,u00211,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2026-04-01T01:00:00.000,2026-04-02T04:00:00.000,,Request,Guusje Smits,Conform aanvraag,True
a00212-demo,maarten.lindeboom@avondrood.local,u00212,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-11-23T15:00:00.000,2025-11-24T11:00:00.000,,Request,Bram Elzinga,Nodig voor de functie,True
a00213-demo,anne.aalbers@avondrood.local,u00213,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-03-08T02:00:00.000,2024-03-09T08:00:00.000,,Request,Bram Elzinga,Ok,True
a00214-demo,bas.dijkstra@avondrood.local,u00214,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-07-21T19:00:00.000,2025-07-22T13:00:00.000,,Request,Fenna de Boer,Conform aanvraag,True
a00215-demo,wessel.dijkstra@avondrood.local,u00215,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-04-30T10:00:00.000,2023-05-01T09:00:00.000,,Request,Puck Kalisvaart,Akkoord – zie ticket,True
a00216-demo,kim.visser@avondrood.local,u00216,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-01-09T07:00:00.000,2024-01-11T20:00:00.000,,Request,Tijn Vroegindeweij,"Akkoord, tijdelijk",True
a00217-demo,bram.vandenheuvel@avondrood.local,u00217,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-03-09T12:00:00.000,2024-03-11T14:00:00.000,,Request,Zoë Willems,Goedgekeurd na overleg,True
a00218-demo,jelle.post@avondrood.local,u00218,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-06-11T05:00:00.000,2024-06-13T02:00:00.000,,Request,Rens de Graaf,"Akkoord, tijdelijk",True
a00219-demo,olivier.janssen@avondrood.local,u00219,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2022-11-30T19:00:00.000,2022-12-01T12:00:00.000,,Request,Bram Elzinga,Goedgekeurd na overleg,True
a00220-demo,stijn.elzinga@avondrood.local,u00220,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-09-06T21:00:00.000,2024-09-08T06:00:00.000,,Request,Guusje Smits,Akkoord,True
a00221-demo,amber.peeters@avondrood.local,u00221,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-12-20T10:00:00.000,2024-12-22T08:00:00.000,,Request,,,
a00222-demo,nora.vos@avondrood.local,u00222,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-04-22T15:00:00.000,2024-04-23T10:00:00.000,,Request,,,
a00223-demo,zoe.vroegindeweij@avondrood.local,u00223,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-08-29T04:00:00.000,2023-08-31T08:00:00.000,,Request,Rens de Graaf,Akkoord – zie ticket,True
a00224-demo,eva.zomerdijk@avondrood.local,u00224,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-02-19T16:00:00.000,2025-02-20T05:00:00.000,,Request,,,
a00225-demo,joris.meijer@avondrood.local,u00225,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2022-09-23T20:00:00.000,2022-09-24T21:00:00.000,,Request,Sem Slootweg,"Akkoord, tijdelijk",True
a00226-demo,lars.jacobs@avondrood.local,u00226,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-12-16T23:00:00.000,2024-12-17T22:00:00.000,,Request,Sem Slootweg,Conform aanvraag,True
a00227-demo,iris.dijkstra2@avondrood.local,u00227,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-05-28T23:00:00.000,2025-05-31T15:00:00.000,,Import,,,
a00228-demo,olivier.pronk@avondrood.local,u00228,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-07-24T13:00:00.000,2025-07-25T16:00:00.000,,Request,olivier.pronk@avondrood.local,Ok,True
a00229-demo,sem.slootweg@avondrood.local,u00229,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-12-03T12:00:00.000,2023-12-05T12:00:00.000,,Request,,,
a00230-demo,jelle.zomerdijk@avondrood.local,u00230,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-06-14T21:00:00.000,2025-06-15T19:00:00.000,,Request,,,
a00231-demo,veerle.janssen@avondrood.local,u00231,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-08-30T02:00:00.000,2025-08-31T21:00:00.000,,Request,Bram Elzinga,Conform aanvraag,True
a00232-demo,xander.elzinga@avondrood.local,u00232,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-04-14T20:00:00.000,2023-04-16T02:00:00.000,,Request,Ursula Nagtegaal,"Akkoord, tijdelijk",True
a00233-demo,wessel.jacobs@avondrood.local,u00233,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-03-01T15:00:00.000,2025-03-03T11:00:00.000,,Request,Elise Berkhout,Akkoord – zie ticket,True
a00234-demo,floris.smit@avondrood.local,u00234,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-09-25T05:00:00.000,2025-09-27T18:00:00.000,,Request,Fenna de Boer,Akkoord,True
a00235-demo,veerle.jacobs@avondrood.local,u00235,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2025-08-29T15:00:00.000,2025-08-31T03:00:00.000,,Request,Tijn Vroegindeweij,Akkoord – zie ticket,True
a00236-demo,noa.vermeulen@avondrood.local,u00236,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-03-20T11:00:00.000,2023-03-20T14:00:00.000,,Request,Rens de Graaf,Ok,True
a00237-demo,ursula.ipenburg@avondrood.local,u00237,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2023-08-30T02:00:00.000,2023-08-31T18:00:00.000,,Request,Bram Elzinga,Nodig voor de functie,True
a00238-demo,floris.wielenga@avondrood.local,u00238,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-05-15T07:00:00.000,2024-05-16T21:00:00.000,,Request,Guusje Smits,"Akkoord, tijdelijk",True
a00239-demo,carlijn.vanleeuwen@avondrood.local,u00239,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2024-04-22T10:00:00.000,2024-04-24T03:00:00.000,,Request,Elise Berkhout,Akkoord – zie ticket,True
a00240-demo,koen.hoekman@avondrood.local,u00240,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2022-09-08T11:00:00.000,2022-09-10T02:00:00.000,,Import,Roos Quaedvlieg,"Akkoord, tijdelijk",True
a00241-demo,pien.hendriks@avondrood.local,u00241,Visio,p0003-demo-0000-0000-000000000000,20240003DEMO,2026-01-11T05:00:00.000,2026-01-13T06:00:00.000,,Request,Floris Willems,Nodig voor de functie,True
